"","Location","Year","Month","average_WindGustSpeed","Lat","Long","State"
"231","AliceSprings",2011,"August",36.2258064516129,-23.6983884,133.8812885,"Northern Territory"
"232","AliceSprings",2011,"December",45.9032258064516,-23.6983884,133.8812885,"Northern Territory"
"233","AliceSprings",2011,"February",46.5309310686176,-23.6983884,133.8812885,"Northern Territory"
"234","AliceSprings",2011,"January",48.5201704547771,-23.6983884,133.8812885,"Northern Territory"
"235","AliceSprings",2011,"July",37.7656012212317,-23.6983884,133.8812885,"Northern Territory"
"236","AliceSprings",2011,"June",33.8449992516388,-23.6983884,133.8812885,"Northern Territory"
"237","AliceSprings",2011,"March",42.0301520277956,-23.6983884,133.8812885,"Northern Territory"
"238","AliceSprings",2011,"May",33.7741935483871,-23.6983884,133.8812885,"Northern Territory"
"239","AliceSprings",2011,"November",41.3,-23.6983884,133.8812885,"Northern Territory"
"240","AliceSprings",2011,"October",44.3789321646515,-23.6983884,133.8812885,"Northern Territory"
"241","AliceSprings",2011,"September",43.2224298055284,-23.6983884,133.8812885,"Northern Territory"
"242","AliceSprings",2012,"April",39.1094570746956,-23.6983884,133.8812885,"Northern Territory"
"243","AliceSprings",2012,"August",37.7096774193548,-23.6983884,133.8812885,"Northern Territory"
"244","AliceSprings",2012,"February",44.9310344827586,-23.6983884,133.8812885,"Northern Territory"
"245","AliceSprings",2012,"January",50.7096774193548,-23.6983884,133.8812885,"Northern Territory"
"246","AliceSprings",2012,"July",38.5806451612903,-23.6983884,133.8812885,"Northern Territory"
"247","AliceSprings",2012,"June",35.3,-23.6983884,133.8812885,"Northern Territory"
"248","AliceSprings",2012,"March",38.5806451612903,-23.6983884,133.8812885,"Northern Territory"
"249","AliceSprings",2012,"May",37.4838709677419,-23.6983884,133.8812885,"Northern Territory"
"250","AliceSprings",2012,"November",45.8333333333333,-23.6983884,133.8812885,"Northern Territory"
"251","AliceSprings",2012,"October",43.2694189607977,-23.6983884,133.8812885,"Northern Territory"
"252","AliceSprings",2012,"September",40.7666666666667,-23.6983884,133.8812885,"Northern Territory"
"253","AliceSprings",2013,"April",39.7333333333333,-23.6983884,133.8812885,"Northern Territory"
"254","AliceSprings",2013,"August",35.8064516129032,-23.6983884,133.8812885,"Northern Territory"
"255","AliceSprings",2013,"December",44.5161290322581,-23.6983884,133.8812885,"Northern Territory"
"256","AliceSprings",2013,"January",48.4193548387097,-23.6983884,133.8812885,"Northern Territory"
"257","AliceSprings",2013,"July",35.4193548387097,-23.6983884,133.8812885,"Northern Territory"
"258","AliceSprings",2013,"June",32.1666666666667,-23.6983884,133.8812885,"Northern Territory"
"259","AliceSprings",2013,"March",42.258064516129,-23.6983884,133.8812885,"Northern Territory"
"260","AliceSprings",2013,"May",37.4516129032258,-23.6983884,133.8812885,"Northern Territory"
"261","AliceSprings",2013,"November",46.5333333333333,-23.6983884,133.8812885,"Northern Territory"
"262","AliceSprings",2013,"October",44.7096774193548,-23.6983884,133.8812885,"Northern Territory"
"263","AliceSprings",2013,"September",43.6744211407378,-23.6983884,133.8812885,"Northern Territory"
"264","AliceSprings",2014,"April",38.2333333333333,-23.6983884,133.8812885,"Northern Territory"
"265","AliceSprings",2014,"August",39.3870967741936,-23.6983884,133.8812885,"Northern Territory"
"266","AliceSprings",2014,"December",46.6451612903226,-23.6983884,133.8812885,"Northern Territory"
"267","AliceSprings",2014,"February",49.6785714285714,-23.6983884,133.8812885,"Northern Territory"
"268","AliceSprings",2014,"January",46.7096774193548,-23.6983884,133.8812885,"Northern Territory"
"269","AliceSprings",2014,"July",31.8387096774194,-23.6983884,133.8812885,"Northern Territory"
"270","AliceSprings",2014,"June",36.6666666666667,-23.6983884,133.8812885,"Northern Territory"
"271","AliceSprings",2014,"March",45.4516129032258,-23.6983884,133.8812885,"Northern Territory"
"272","AliceSprings",2014,"May",30,-23.6983884,133.8812885,"Northern Territory"
"273","AliceSprings",2014,"November",42.5666666666667,-23.6983884,133.8812885,"Northern Territory"
"274","AliceSprings",2014,"October",42.2258064516129,-23.6983884,133.8812885,"Northern Territory"
"275","AliceSprings",2014,"September",40.1,-23.6983884,133.8812885,"Northern Territory"
"276","AliceSprings",2015,"April",38.1333333333333,-23.6983884,133.8812885,"Northern Territory"
"277","AliceSprings",2015,"August",37.5806451612903,-23.6983884,133.8812885,"Northern Territory"
"278","AliceSprings",2015,"December",47.0645161290323,-23.6983884,133.8812885,"Northern Territory"
