"","Location","Year","Month","average_WindGustSpeed"
"218","Albury",2009,"September",35.9124589024112
"219","Albury",2010,"April",25.6333333333333
"220","Albury",2010,"August",35.6435051491604
"221","Albury",2010,"December",42.1935483870968
"222","Albury",2010,"February",39.7058050305849
"223","Albury",2010,"January",42.7096774193548
"224","Albury",2010,"July",25.3870967741935
"225","Albury",2010,"June",26.7333333333333
"226","Albury",2010,"March",32.2713725903041
"227","Albury",2010,"May",26.0322580645161
"228","Albury",2010,"November",37.3333333333333
"229","Albury",2010,"October",33.8387096774194
"230","Albury",2010,"September",36.6666666666667
"231","Albury",2011,"August",25.8064516129032
"232","Albury",2011,"December",35.7096774193548
"233","Albury",2011,"February",36.0357142857143
"234","Albury",2011,"January",34.3870967741936
"235","Albury",2011,"July",30.2258064516129
"236","Albury",2011,"June",27.9666666666667
"237","Albury",2011,"March",30.9354838709677
"238","Albury",2011,"May",24.8709677419355
"239","Albury",2011,"November",41.0240070383996
"240","Albury",2011,"October",32.728134246483
"241","Albury",2011,"September",37.3084496540638
"242","Albury",2012,"April",28.5
"243","Albury",2012,"August",34.0967741935484
"244","Albury",2012,"February",34.5862068965517
"245","Albury",2012,"January",36.7096774193548
"246","Albury",2012,"July",24.9032258064516
"247","Albury",2012,"June",24.4666666666667
"248","Albury",2012,"March",34.4838709677419
"249","Albury",2012,"May",23.4838709677419
"250","Albury",2012,"November",34.7666666666667
"251","Albury",2012,"October",35.0271730822241
"252","Albury",2012,"September",37.0666666666667
"253","Albury",2013,"April",27.4666666666667
"254","Albury",2013,"August",35.6129032258064
"255","Albury",2013,"December",39.0967741935484
"256","Albury",2013,"January",42.0645161290323
"257","Albury",2013,"July",29.9677419354839
"258","Albury",2013,"June",22.1333333333333
"259","Albury",2013,"March",35.3548387096774
"260","Albury",2013,"May",27.6487570581357
"261","Albury",2013,"November",38.7666666666667
"262","Albury",2013,"October",39.3548387096774
"263","Albury",2013,"September",36.7333333333333
"264","Albury",2014,"April",28.6333333333333
"265","Albury",2014,"August",23.1935483870968
"266","Albury",2014,"December",41.6774193548387
"267","Albury",2014,"February",36.2857142857143
"268","Albury",2014,"January",37.8387096774194
"269","Albury",2014,"July",28.258064516129
"270","Albury",2014,"June",28.886433214508
"271","Albury",2014,"March",33.1935483870968
"272","Albury",2014,"May",22.5483870967742
"273","Albury",2014,"November",37.6333333333333
"274","Albury",2014,"October",38.1989213819165
"275","Albury",2014,"September",35.5245252390392
"276","Albury",2015,"April",31.0333333333333
"277","Albury",2015,"August",28.8709677419355
"278","Albury",2015,"December",35.8064516129032
"279","Albury",2015,"February",36.9285714285714
"280","Albury",2015,"January",39.1290322580645
"281","Albury",2015,"July",28.0967741935484
"282","Albury",2015,"June",20.2
"283","Albury",2015,"March",37.1935483870968
"284","Albury",2015,"May",30.3225806451613
"285","Albury",2015,"November",38.6
"286","Albury",2015,"October",31.1935483870968
"287","Albury",2015,"September",32.1
"288","Albury",2016,"April",27.3
"289","Albury",2016,"August",28.4516129032258
"290","Albury",2016,"December",39.1935483870968
"291","Albury",2016,"February",33.7241379310345
"292","Albury",2016,"January",41.9677419354839
"293","Albury",2016,"July",29.3548387096774
"294","Albury",2016,"June",29.6333333333333
"295","Albury",2016,"March",33.9677419354839
"296","Albury",2016,"May",33.1612903225806
"297","Albury",2016,"November",40.3333333333333
"298","Albury",2016,"October",40.6451612903226
"299","Albury",2016,"September",32.3666666666667
"300","Albury",2017,"April",26.2666666666667
"301","Albury",2017,"February",39.3571428571429
"302","Albury",2017,"January",34.0967741935484
"303","Albury",2017,"June",18.44
"304","Albury",2017,"March",35
"305","Albury",2017,"May",23.3548387096774
"306","AliceSprings",2008,"December",42.8709677419355
"307","AliceSprings",2009,"April",40.1656839926106
"308","AliceSprings",2009,"August",42.6774193548387
